enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,kfold
10532,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,4,<10,Pvt Ltd,1,32,1.0,0
25095,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,3,152,0.0,0
1976,city_11,0.55,,Has relevent experience,no_enrollment,Graduate,STEM,8,10/49,Other,1,37,1.0,0
9762,city_114,0.926,Male,No relevent experience,Full time course,High School,,4,,,1,39,0.0,0
3173,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Pvt Ltd,>4,12,0.0,0
8528,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,>20,50-99,Public Sector,>4,108,0.0,0
13563,city_11,0.55,Male,Has relevent experience,Part time course,Masters,STEM,7,10/49,Pvt Ltd,2,45,1.0,0
4193,city_100,0.887,Male,Has relevent experience,no_enrollment,Phd,STEM,10,10/49,Pvt Ltd,2,218,0.0,0
11290,city_142,0.727,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,1,48,0.0,0
22874,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,48,0.0,0
14311,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,,1,27,0.0,0
2233,city_21,0.624,,No relevent experience,no_enrollment,Graduate,STEM,<1,<10,,1,104,1.0,0
26523,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,22,0.0,0
26911,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,,133,0.0,0
24191,city_136,0.897,Male,No relevent experience,no_enrollment,Masters,Humanities,>20,,,4,163,0.0,0
20593,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,3,70,0.0,0
31825,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,Other,11,500-999,Pvt Ltd,3,34,0.0,0
28297,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,1,77,0.0,0
27585,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,4,100-500,Pvt Ltd,1,112,0.0,0
12030,city_90,0.698,,No relevent experience,no_enrollment,Graduate,STEM,8,,,4,43,0.0,0
7721,city_98,0.949,,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Funded Startup,2,35,0.0,0
28443,city_21,0.624,Male,Has relevent experience,,Masters,STEM,9,100-500,Pvt Ltd,2,43,0.0,0
8254,city_102,0.804,Female,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,>4,41,0.0,0
8482,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,100-500,Pvt Ltd,1,22,0.0,0
23853,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,0.0,0
17676,city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,4,50-99,Pvt Ltd,2,25,0.0,0
23603,city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,,,1,78,1.0,0
10157,city_103,0.92,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,10000+,Pvt Ltd,>4,74,0.0,0
13683,city_23,0.899,Male,Has relevent experience,no_enrollment,High School,,5,50-99,Pvt Ltd,2,34,0.0,0
840,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Early Stage Startup,1,102,0.0,0
19765,city_30,0.698,,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,17,0.0,0
9419,city_45,0.89,Male,Has relevent experience,Full time course,Masters,STEM,9,50-99,Pvt Ltd,>4,51,0.0,0
33310,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,10000+,Pvt Ltd,1,47,0.0,0
19187,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,100-500,Pvt Ltd,2,226,0.0,0
1900,city_98,0.949,Male,No relevent experience,no_enrollment,Graduate,STEM,14,,Pvt Ltd,never,70,0.0,0
4206,city_103,0.92,Other,No relevent experience,Part time course,Graduate,STEM,15,,Pvt Ltd,never,118,0.0,0
3449,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,4,18,0.0,0
15423,city_10,0.895,,Has relevent experience,Part time course,Masters,STEM,6,10/49,NGO,>4,22,1.0,0
8782,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,7,10/49,Pvt Ltd,>4,50,0.0,0
27655,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,1,116,1.0,0
28242,city_45,0.89,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,1,31,0.0,0
1435,city_103,0.92,,No relevent experience,no_enrollment,High School,,,,,,4,0.0,0
25238,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,6,1000-4999,Pvt Ltd,1,108,0.0,0
22663,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,10/49,Funded Startup,1,140,0.0,0
30858,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Funded Startup,1,16,0.0,0
27449,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,>4,94,0.0,0
11220,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,13,500-999,Pvt Ltd,1,80,0.0,0
12622,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,Humanities,4,50-99,Pvt Ltd,never,10,0.0,0
12768,city_136,0.897,,Has relevent experience,no_enrollment,Masters,STEM,3,10/49,Pvt Ltd,,11,0.0,0
4436,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,86,0.0,0
30909,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,146,1.0,0
32205,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,3,<10,Pvt Ltd,1,56,0.0,0
5413,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1,142,1.0,0
13099,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,16,50-99,Pvt Ltd,2,26,1.0,0
24501,city_21,0.624,Male,Has relevent experience,Part time course,Graduate,STEM,2,50-99,Early Stage Startup,1,8,1.0,0
18329,city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,4,,,1,42,1.0,0
12382,city_21,0.624,,No relevent experience,Full time course,Masters,STEM,15,1000-4999,Public Sector,3,174,0.0,0
31084,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,24,0.0,0
32837,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Pvt Ltd,1,4,0.0,0
29980,city_11,0.55,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,10/49,Funded Startup,1,23,0.0,0
27734,city_73,0.754,Male,No relevent experience,no_enrollment,Graduate,STEM,6,,,never,134,1.0,0
32012,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,12,1000-4999,Pvt Ltd,4,66,0.0,0
12776,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,10,,,>4,76,0.0,0
9391,city_114,0.926,Male,Has relevent experience,Full time course,Graduate,STEM,7,10000+,Pvt Ltd,1,2,0.0,0
12486,city_162,0.767,Female,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Pvt Ltd,3,29,1.0,0
20973,city_16,0.91,,No relevent experience,no_enrollment,High School,,<1,,,>4,57,1.0,0
15503,city_50,0.8959999999999999,Male,No relevent experience,no_enrollment,High School,,2,,,1,174,0.0,0
3819,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,No Major,16,10/49,Pvt Ltd,>4,8,0.0,0
3172,city_103,0.92,,No relevent experience,no_enrollment,Primary School,,2,,,,131,0.0,0
1675,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,5000-9999,NGO,4,12,0.0,0
6364,city_103,0.92,,No relevent experience,no_enrollment,Graduate,Humanities,>20,,,2,17,0.0,0
15941,city_128,0.527,Male,No relevent experience,no_enrollment,Graduate,Other,3,,,never,28,0.0,0
719,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,7,50-99,Pvt Ltd,2,23,0.0,0
25542,city_75,0.939,Female,Has relevent experience,no_enrollment,Graduate,STEM,14,5000-9999,Pvt Ltd,1,25,0.0,0
15753,city_11,0.55,Male,Has relevent experience,,Graduate,STEM,2,10/49,Pvt Ltd,1,3,1.0,0
3477,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,500-999,NGO,>4,36,0.0,0
29066,city_158,0.7659999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,1,,,never,19,1.0,0
2674,city_134,0.698,Male,Has relevent experience,no_enrollment,Graduate,No Major,7,<10,Pvt Ltd,,47,0.0,0
18595,city_145,0.555,,No relevent experience,Full time course,Graduate,STEM,2,,,1,3,0.0,0
3064,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,8,1000-4999,Pvt Ltd,2,308,0.0,0
1529,city_123,0.738,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,>4,18,0.0,0
18817,city_11,0.55,Male,No relevent experience,no_enrollment,Graduate,STEM,3,50-99,Early Stage Startup,1,80,0.0,0
20273,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,22,0.0,0
20445,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,5000-9999,Pvt Ltd,1,94,0.0,0
26843,city_91,0.691,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,,,1,96,0.0,0
5642,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,Pvt Ltd,1,31,0.0,0
21437,city_123,0.738,Male,No relevent experience,no_enrollment,Phd,STEM,>20,,,>4,50,1.0,0
3472,city_16,0.91,Male,Has relevent experience,no_enrollment,High School,,>20,500-999,Pvt Ltd,>4,54,1.0,0
1272,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,50,0.0,0
1309,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,>4,30,0.0,0
30731,city_61,0.913,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,41,0.0,0
2156,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,23,1.0,0
7887,city_21,0.624,,No relevent experience,,Graduate,STEM,4,10/49,Pvt Ltd,2,14,1.0,0
28142,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Pvt Ltd,>4,12,0.0,0
18008,city_114,0.926,Male,Has relevent experience,no_enrollment,High School,,7,,,2,41,0.0,0
77,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,3,10000+,Pvt Ltd,1,78,1.0,0
4570,city_11,0.55,Male,No relevent experience,Full time course,High School,,2,,,1,10,0.0,0
8580,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Funded Startup,1,23,0.0,0
21641,city_100,0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,,,>4,106,1.0,0
29704,city_48,0.493,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,1,108,1.0,0
31256,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,19,<10,Pvt Ltd,1,334,0.0,0
23023,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,>4,20,0.0,0
5513,city_103,0.92,Male,No relevent experience,Full time course,High School,,4,10000+,Pvt Ltd,1,194,0.0,0
27250,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,,,3,52,1.0,0
13802,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,28,0.0,0
1715,city_89,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,never,58,0.0,0
24504,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,NGO,1,7,0.0,0
29855,city_91,0.691,Male,No relevent experience,no_enrollment,Graduate,STEM,11,,,4,4,0.0,0
3201,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,>20,50-99,NGO,>4,54,0.0,0
11600,city_11,0.55,,Has relevent experience,no_enrollment,Graduate,STEM,3,10/49,Pvt Ltd,1,102,1.0,0
10045,city_128,0.527,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Pvt Ltd,1,67,0.0,0
10555,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,8,0.0,0
728,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Funded Startup,2,28,0.0,0
31490,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,,1,101,0.0,0
20015,city_138,0.836,Male,Has relevent experience,Part time course,Graduate,STEM,13,50-99,Public Sector,2,21,0.0,0
22626,city_104,0.924,Male,Has relevent experience,Full time course,Graduate,STEM,6,50-99,Pvt Ltd,1,86,0.0,0
18339,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,1,80,1.0,0
30098,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Other,>20,100-500,Pvt Ltd,>4,8,0.0,0
8584,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,11,0.0,0
4025,city_16,0.91,Male,No relevent experience,,,,4,,Pvt Ltd,never,133,0.0,0
10382,city_159,0.843,Male,Has relevent experience,Part time course,Graduate,STEM,18,10000+,Pvt Ltd,1,50,0.0,0
29004,city_61,0.913,Male,No relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,2,90,0.0,0
6856,city_114,0.926,Other,No relevent experience,Full time course,High School,,8,5000-9999,,1,210,0.0,0
21106,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,1,20,0.0,0
33239,city_21,0.624,,No relevent experience,Full time course,,,7,,Pvt Ltd,never,48,1.0,0
25399,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,5,10/49,NGO,1,104,0.0,0
6584,city_114,0.926,Male,No relevent experience,Full time course,Graduate,STEM,7,,,never,44,0.0,0
2754,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Pvt Ltd,2,128,0.0,0
18,city_23,0.899,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,24,0.0,0
27711,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,17,,,4,21,1.0,0
22328,city_19,0.682,Male,No relevent experience,Part time course,Graduate,STEM,6,100-500,Public Sector,1,110,0.0,0
10747,city_100,0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,18,0.0,0
24322,city_116,0.743,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,2,135,0.0,0
19207,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,9,100-500,Funded Startup,4,36,0.0,0
299,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,Public Sector,>4,32,0.0,0
10876,city_100,0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,never,67,0.0,0
30363,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Public Sector,>4,94,0.0,0
28342,city_103,0.92,,Has relevent experience,Part time course,Masters,STEM,15,1000-4999,Pvt Ltd,2,17,0.0,0
29608,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,,1,51,0.0,0
13974,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,1,40,0.0,0
20403,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,3,10000+,Pvt Ltd,1,21,1.0,0
10031,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,<10,Early Stage Startup,1,90,0.0,0
18284,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,,,3,12,1.0,0
2543,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,2,12,0.0,0
10383,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,>4,66,0.0,0
33069,city_90,0.698,Male,No relevent experience,Full time course,Graduate,STEM,1,,,1,13,0.0,0
16343,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,1,17,0.0,0
8504,city_11,0.55,Male,Has relevent experience,Part time course,Graduate,STEM,4,10/49,Pvt Ltd,1,97,0.0,0
473,city_37,0.794,Male,No relevent experience,Full time course,,,2,,Pvt Ltd,never,178,0.0,0
24586,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,6,10/49,Early Stage Startup,1,91,0.0,0
4176,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,20,1.0,0
10913,city_136,0.897,Female,No relevent experience,no_enrollment,Phd,STEM,11,1000-4999,Pvt Ltd,1,150,0.0,0
2793,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,166,0.0,0
11084,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,44,1.0,0
28087,city_23,0.899,Male,Has relevent experience,Part time course,Graduate,STEM,7,<10,Early Stage Startup,1,63,0.0,0
31077,city_21,0.624,Other,Has relevent experience,Full time course,Graduate,STEM,5,,Pvt Ltd,never,50,1.0,0
26955,city_16,0.91,Male,Has relevent experience,,Graduate,STEM,10,,,>4,13,0.0,0
26853,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,3,<10,NGO,1,72,1.0,0
18161,city_145,0.555,,No relevent experience,Full time course,Graduate,STEM,4,,,1,106,0.0,0
30553,city_103,0.92,Male,No relevent experience,no_enrollment,,,4,,Pvt Ltd,never,34,0.0,0
23818,city_138,0.836,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,3,48,0.0,0
640,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,74,0.0,0
4505,city_160,0.92,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,50-99,Funded Startup,>4,15,0.0,0
30304,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Funded Startup,1,42,0.0,0
22736,city_23,0.899,Male,No relevent experience,no_enrollment,Graduate,STEM,16,10000+,Pvt Ltd,>4,13,0.0,0
26363,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,35,1.0,0
33257,city_103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,>20,,,2,54,0.0,0
26994,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,126,0.0,0
13490,city_114,0.926,Male,Has relevent experience,Full time course,Graduate,STEM,19,10/49,Funded Startup,1,12,1.0,0
23028,city_160,0.92,,Has relevent experience,no_enrollment,Masters,STEM,15,<10,Early Stage Startup,1,29,0.0,0
25660,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,16,10000+,Pvt Ltd,4,10,0.0,0
14657,city_114,0.926,Male,Has relevent experience,Part time course,Graduate,STEM,4,10/49,Pvt Ltd,,12,0.0,0
24076,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,8,10000+,Pvt Ltd,4,122,0.0,0
7166,city_103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,18,10000+,Pvt Ltd,>4,32,0.0,0
3343,city_100,0.887,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,1,76,0.0,0
6188,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,500-999,Pvt Ltd,1,72,0.0,0
16402,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,112,0.0,0
10465,city_149,0.6890000000000001,Male,No relevent experience,no_enrollment,Graduate,STEM,5,,,never,34,0.0,0
33150,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,,,never,4,1.0,0
25507,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,,1,53,0.0,0
11250,city_114,0.926,,No relevent experience,Full time course,Graduate,STEM,4,10000+,NGO,1,68,0.0,0
11530,city_173,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,5,500-999,Pvt Ltd,1,11,0.0,0
28635,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,8,1000-4999,Pvt Ltd,never,163,0.0,0
4843,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10/49,Early Stage Startup,1,15,0.0,0
3442,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10/49,Pvt Ltd,1,53,0.0,0
19251,city_150,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,9,,,4,64,1.0,0
23169,city_98,0.949,Male,No relevent experience,no_enrollment,Masters,STEM,4,50-99,,1,18,0.0,0
16771,city_126,0.479,,Has relevent experience,Full time course,,,2,100-500,Early Stage Startup,1,48,1.0,0
28386,city_89,0.925,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,<10,Early Stage Startup,>4,46,0.0,0
27035,city_167,0.921,Male,Has relevent experience,Full time course,Masters,STEM,5,100-500,Pvt Ltd,1,10,0.0,0
33197,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,4,,Pvt Ltd,never,22,1.0,0
9872,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,14,100-500,Pvt Ltd,3,81,0.0,0
14649,city_150,0.698,,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Public Sector,1,35,0.0,0
7549,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,1000-4999,Pvt Ltd,>4,14,0.0,0
27285,city_55,0.7390000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,>4,12,0.0,0
24291,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,13,100-500,Pvt Ltd,2,328,0.0,0
23848,city_21,0.624,,No relevent experience,Full time course,Graduate,STEM,2,,Public Sector,never,39,0.0,0
7995,city_67,0.855,Male,Has relevent experience,Full time course,Graduate,STEM,4,100-500,Pvt Ltd,2,66,0.0,0
16647,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,2,55,0.0,0
12637,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,10000+,Pvt Ltd,1,151,1.0,0
